familia,corrida,segundos,C,class_weight,max_iter,solver,penalty,roc_auc,pr_auc,brier,log_loss,accuracy,precision,recall,f1,umbral,tasa_predicha,prob_media,n_estimators,min_samples_leaf,max_features,max_depth,colsample_bytree,learning_rate,min_child_weight,reg_lambda,subsample
logistica,12,1.3164989948272705,0.0017070728830306638,,200.0,lbfgs,l2,0.6869835597489993,0.6796204209431613,0.2303779799346311,0.6536245232214569,0.5708643780062247,0.5320743795673251,0.9004506048880835,0.6688982071876223,0.24000000000000002,0.8146868810713949,0.38656443983768013,,,,,,,,,
logistica,13,6.170381546020508,0.17885301261862016,balanced,500.0,lbfgs,l2,0.6906098859466641,0.6800180939630665,0.22130866842595215,0.6325086058633692,0.572562010751674,0.5330407288162511,0.9041485036978988,0.6706813083008619,0.29000000000000004,0.8165495614448741,0.463047871900917,,,,,,,,,
logistica,14,6.273385524749756,67.32248920775338,balanced,500.0,lbfgs,l2,0.690287045116148,0.6792552650726433,0.22150178491126518,0.6329650554410177,0.573092520984627,0.5334762580757308,0.9018954792574815,0.670404485382459,0.29000000000000004,0.813849853814958,0.4630630418049938,,,,,,,,,
logistica,15,3.2036402225494385,0.001201797402730995,balanced,500.0,liblinear,l1,0.6761979946463585,0.670370568914967,0.2240847393915897,0.6385969948868145,0.5652999151183628,0.5284951728702358,0.8995444972326982,0.6658147312324968,0.34,0.8193789493539564,0.4777178612635987,,,,,,,,,
logistica,16,61.555270195007324,2.608060094552367,balanced,200.0,liblinear,l1,0.6903527406072589,0.6793885409876792,0.22145759665973508,0.6328549362265774,0.5731750447986419,0.5335051173294344,0.9025322035558603,0.6706031133714847,0.29000000000000004,0.8143803640479109,0.4630644821271534,,,,,,,,,
logistica,17,2.1614179611206055,0.007359075652019385,,500.0,liblinear,l2,0.6893308864572392,0.6807116376812354,0.2299459079284564,0.6530583774649306,0.5658775818164671,0.528378531393308,0.9142136454915022,0.6696984374719696,0.22000000000000003,0.8329246439686881,0.38574100426276436,,,,,,,,,
logistica,18,9.304056406021118,2.054051942538845,balanced,500.0,liblinear,l2,0.6903438372448654,0.6793648061288491,0.2214667884663623,0.6328763399865758,0.5729156842403094,0.5333507072637508,0.9021403732183965,0.6703729652511761,0.29000000000000004,0.8142624728850325,0.46306147900398226,,,,,,,,,
logistica,19,3.270914077758789,0.010957420145894578,balanced,500.0,lbfgs,l2,0.6898549962760419,0.6805403933288647,0.22125067196853485,0.6323165724447808,0.5733754597755353,0.5337400145243283,0.8999363275701621,0.6700703840122534,0.30000000000000004,0.8116806564179949,0.46351903802589645,,,,,,,,,
logistica,20,9.018452882766724,70.45683638454501,balanced,500.0,liblinear,l2,0.690312966910879,0.6793041069485362,0.2214862459031167,0.6329255130063198,0.5730099971706121,0.5334182971512984,0.9019934368418475,0.6703857739595752,0.29000000000000004,0.8140266905592757,0.46305497935873563,,,,,,,,,
logistica,21,48.54025602340698,0.0945695189734589,balanced,500.0,liblinear,l1,0.6899495092562179,0.6798422143405304,0.22133034993078024,0.6325052871950405,0.5706168065641799,0.5316508364658957,0.9074545721702503,0.6704845655556761,0.29000000000000004,0.8216778270300858,0.463305621236507,,,,,,,,,
logistica,22,61.53622102737427,40.679084943595456,balanced,500.0,liblinear,l1,0.690315141952264,0.6793101848729588,0.2214841708452767,0.6329202024549578,0.5729864189380364,0.533404782249772,0.9019444580496645,0.6703615729743996,0.29000000000000004,0.8140031123267,0.46306000900202243,,,,,,,,,
logistica,23,4.429421663284302,0.4019493217124641,balanced,500.0,lbfgs,l2,0.6902691771539531,0.6793601326732195,0.22146316933665358,0.632875262025091,0.5781146845232481,0.5372227465785748,0.8920997208208845,0.6706062112258611,0.30000000000000004,0.7993963972460625,0.46307151531561463,,,,,,,,,
logistica,24,5.494791507720947,0.08777815504719653,balanced,200.0,lbfgs,l2,0.6904152857120892,0.6799773051769102,0.2213054753378003,0.632478782180939,0.5716424596812223,0.5323869444404452,0.9055688886712053,0.6705533543081484,0.29000000000000004,0.8188366500047156,0.46320049218283754,,,,,,,,,
logistica,25,5.83692741394043,0.8585306974480479,,500.0,lbfgs,l2,0.6903101850624526,0.6798304291454537,0.230001171657608,0.6537874583761792,0.572644534565689,0.5331415020677289,0.9029485232894157,0.6704305767692196,0.22000000000000003,0.8153117042346506,0.38554876117924836,,,,,,,,,
logistica,26,2.209376096725464,0.0050654860639753555,,200.0,lbfgs,l2,0.6889434028623234,0.6806877056016384,0.23003485406544505,0.6531854957724732,0.5710883712156937,0.5321453327171903,0.9024342459714944,0.6695009174978652,0.23,0.8163727247005564,0.38567792700726516,,,,,,,,,
logistica,27,2.3963522911071777,0.0011972422479639326,,500.0,lbfgs,l2,0.6859867856577048,0.6788509037008206,0.2305895942881903,0.6539608693617105,0.5675634254456285,0.5297258607114738,0.9062056129695841,0.668612057205323,0.24000000000000002,0.8235287182872771,0.38702254209482145,,,,,,,,,
logistica,28,12.811258792877197,0.009853225172032555,balanced,200.0,liblinear,l1,0.6872806135070817,0.6787730534445796,0.2217751565676497,0.633571779016552,0.567233330189569,0.5294436751416866,0.908238232845178,0.6689393324495189,0.30000000000000004,0.8258158068471187,0.4653582787807045,,,,,,,,,
logistica,29,12.636306524276733,0.009867611000082873,balanced,200.0,liblinear,l1,0.6872856761705972,0.6787773214677588,0.22177415479811358,0.6335694787471099,0.5672804866547204,0.5294730680828587,0.9082627222412696,0.6689694357013375,0.30000000000000004,0.825792228614543,0.4653528700236893,,,,,,,,,
logistica,30,45.56140208244324,7.183758655813988,,500.0,liblinear,l1,0.6902409366882808,0.6796541231508046,0.23002925158490928,0.6538506664780412,0.5727860039611431,0.5332455658111744,0.9026546505363178,0.6704318090872713,0.22000000000000003,0.8148872960482882,0.38555720255604625,,,,,,,,,
random_forest,1,48.437615633010864,,,,,,0.699581626308116,0.6929707872598135,0.2251303067728441,0.6406398713406307,0.578645194756201,0.5368999145063831,0.9073811039819758,0.6746233328781465,0.27,0.8135787041403376,0.39750080995021425,150.0,20.0,log2,12.0,,,,,
random_forest,2,90.85460495948792,,balanced,,,,0.7053843914955136,0.6972702260972196,0.21649049060581152,0.6214819027400903,0.5979675563519758,0.552346738826164,0.869789880981535,0.6756391721199209,0.35000000000000003,0.7580637555408847,0.4714904859406651,200.0,50.0,log2,20.0,,,,,
random_forest,3,97.03138947486877,,balanced,,,,0.7073346325832912,0.6983596746866824,0.21597559296947727,0.6202283241959018,0.5893025558804112,0.5449503050654354,0.8902385267179311,0.6760584335276778,0.32000000000000006,0.7864165802131472,0.4691203349297214,200.0,20.0,sqrt,20.0,,,,,
random_forest,4,74.35245871543884,,balanced,,,,0.687965281963803,0.6830549458735777,0.2202511590010453,0.6296531016573237,0.5784919362444592,0.5373013775075631,0.8959935347994319,0.6717648354876615,0.36000000000000004,0.8027680845043855,0.4787435894078547,150.0,5.0,0.5,8.0,,,,,
random_forest,5,134.7300262451172,,balanced,,,,0.7052757451999642,0.697033467973854,0.21653809895457476,0.6215933470915112,0.5914717532773743,0.5468349826480974,0.8836753685654112,0.6755974948746033,0.34,0.7779284164859002,0.47132386355235706,300.0,50.0,sqrt,20.0,,,,,
